,AR
2840,PCP4L1
2841,PCSK4
2842,PDCD6IP
2843,PDE8B
2844,PDE9A
2845,PDGFC
2846,PDGFD
2847,PDK4
2848,PECAM1
2850,PER2
2851,PER3
2852,PEX26
2853,PFKFB1
2854,PFKFB3
2855,PGPEP1
2856,PHLDA3
2857,PID1
2859,PIK3R1
2860,PIM1
2861,PIMREG
2862,PITPNC1
2863,PKIG
2864,PKLR
2865,PKN3
2866,PLCD4
2867,PLCG1
2869,PLEKHA7
2870,PLEKHG6
2871,PLIN2
2872,PLK1
2873,PLK2
2874,PLK5
2875,PLPP6
2876,PMAIP1
2877,PNPLA1
2878,PNRC1
2879,POC1A
2880,PODXL
2881,POLE
2882,POLK
2883,POR
2884,PPAP2A
2885,PPARD
2886,PPAT
2887,PPBP
2888,PPL
2889,PPM1F
2890,PPP1R2
2891,PPP1R3C
2892,PRC1
2893,PRCP
2894,PROCR
2895,PROS1
2896,PRR36
2897,PRRG3
2898,PRSS23
2899,PRSS44
2900,PSG16
2901,PTGIS
2905,PTP4A1
2906,PTPN9
2907,PTPRG
2908,PTPRR
2909,PTX3
2910,PWWP4B
2911,PXMP4
2912,RAB38
2913,RACGAP1
2914,RAD51
2915,RAD52
2916,RAET1E
2917,RAI2
2918,RAMP3
2919,RAPGEF4
2920,RASD2
2921,RASGEF1B
2923,RASGRP3
2924,RBM47
2925,RCAN1
2926,RCSD1
2927,RECQL
2928,REEP1
2929,RFLNB
2930,RGCC
2931,RGS12
2932,RGS3
2933,RGS5
2934,RHOB
2935,RHOC
2937,RHOU
2938,RNASE2A
2939,RNASEH2B
2940,RND1
2941,RNF125
2942,RNF128
2943,RNF144A
2944,RNF167
2945,RNF169
2946,RNF186
2947,RNU1B6
2948,RNU2
2949,ROBO2
2951,RPS27L
2952,RRAD
2955,RRM1
2956,RRM2
2957,RRN3
2959,RTL6
2960,RTL8A
2961,RTL8B
2962,RTL8C
2963,RUFY3
2964,S100A10
2965,S100A14
2966,SAC3D1
2967,SAMD5
2968,SAT1
2969,SCD
2970,SCGB3A1
2971,SCN1B
2972,SCN3B
2973,SCUBE3
2974,SELENOI
2975,SEMA3C
2976,SEMA3G
2977,SERP2
2978,SERPINA1A
2979,SERPINA1C
2980,SERPINA1D
2981,SERPINA1E
2982,SERPINA3
