keyge,word
ACTN1,ACTN1
ACTN2,ACTN2
ACTN2A,ACTN2A
ACTN2B,ACTN2B
ACTN3,ACTN3
ACTN3A,ACTN3A
ACTN3B,ACTN3B
ACTN4,ACTN4
ACTR10,ACTR10
ACTR1A,ACTR1A
ACTR1B,ACTR1B
ACTR2,ACTR2
ACTR2A,ACTR2A
ACTR2B,ACTR2B
ACTR3,ACTR3
ACTR3-AS1,ACTR3-AS1
ACTR3B,ACTR3B
ACTR3BP2,ACTR3BP2
ACTR3C,ACTR3C
ACTR5,ACTR5
ACTR6,ACTR6
ACTR8,ACTR8
ACTRT1,ACTRT1
ACTRT2,ACTRT2
ACTRT3,ACTRT3
ACVR1,ACVR1
ACVR1B,ACVR1B
ACVR1BA,ACVR1BA
ACVR1BB,ACVR1BB
ACVR1C,ACVR1C
ACVR1L,ACVR1L
ACVR2A,ACVR2A
ACVR2AA,ACVR2AA
ACVR2B,ACVR2B
ACVR2B-AS1,ACVR2B-AS1
ACVR2BA,ACVR2BA
ACVRL1,ACVRL1
ACXB,ACXB
ACXC,ACXC
ACXE,ACXE
ACY-1,ACY-1
ACY1,ACY1
ACY3,ACY3
ACY3.1,ACY3.1
ACY3.2,ACY3.2
ACYP,ACYP
ACYP1,ACYP1
ACYP2,ACYP2
ADA,ADA
ADA.2,ADA.2
ADA2,ADA2
ADA2A,ADA2A
ADA2B,ADA2B
ADAD1,ADAD1
ADAD2,ADAD2
ADAH-1,ADAH-1
ADAL,ADAL
ADAL-1,ADAL-1
ADAM1,ADAM1
ADAM10,ADAM10
ADAM10A,ADAM10A
ADAM10B,ADAM10B
ADAM11,ADAM11
ADAM12,ADAM12
ADAM15,ADAM15
ADAM17,ADAM17
ADAM17A,ADAM17A
ADAM17B,ADAM17B
ADAM18,ADAM18
ADAM19,ADAM19
ADAM19A,ADAM19A
ADAM19B,ADAM19B
ADAM1A,ADAM1A
ADAM1B,ADAM1B
ADAM2,ADAM2
ADAM20,ADAM20
ADAM20P1,ADAM20P1
ADAM21,ADAM21
ADAM21P1,ADAM21P1
ADAM22,ADAM22
ADAM23,ADAM23
ADAM23A,ADAM23A
ADAM24,ADAM24
ADAM25,ADAM25
ADAM26A,ADAM26A
ADAM26B,ADAM26B
ADAM28,ADAM28
ADAM29,ADAM29
ADAM3,ADAM3
ADAM30,ADAM30
ADAM32,ADAM32
ADAM33,ADAM33
ADAM34,ADAM34
ADAM3A,ADAM3A
ADAM4,ADAM4
ADAM4L1,ADAM4L1
ADAM5,ADAM5
ADAM6,ADAM6
ADAM6A,ADAM6A
ADAM6B,ADAM6B
ADAM7,ADAM7
ADAM8,ADAM8
ADAM8A,ADAM8A
ADAM8B,ADAM8B
ADAM9,ADAM9
ADAM9L,ADAM9L
ADAMDEC1,ADAMDEC1
ADAMTS1,ADAMTS1
ADAMTS10,ADAMTS10
ADAMTS12,ADAMTS12
ADAMTS13,ADAMTS13
ADAMTS14,ADAMTS14
ADAMTS15,ADAMTS15
ADAMTS15A,ADAMTS15A
ADAMTS16,ADAMTS16
ADAMTS16-DT,ADAMTS16-DT
ADAMTS17,ADAMTS17
ADAMTS18,ADAMTS18
