keyge,group,category,description
gene:100009609,genomic,gene,gene:100009609
gene:100009619,genomic,gene,gene:100009619
gene:100009621,genomic,gene,gene:100009621
gene:100009626,genomic,gene,gene:100009626
gene:100009631,genomic,gene,gene:100009631
gene:100009637,genomic,gene,gene:100009637
gene:100009639,genomic,gene,gene:100009639
gene:100009643,genomic,gene,gene:100009643
gene:100009646,genomic,gene,gene:100009646
gene:100009657,genomic,gene,gene:100009657
gene:100009661,genomic,gene,gene:100009661
gene:100009675,genomic,gene,gene:100009675
gene:100009676,genomic,gene,gene:100009676
gene:10001,genomic,gene,gene:10001
gene:100012,genomic,gene,gene:100012
gene:100015211,genomic,gene,gene:100015211
gene:10002,genomic,gene,gene:10002
gene:100020791,genomic,gene,gene:100020791
gene:100026387,genomic,gene,gene:100026387
gene:100026549,genomic,gene,gene:100026549
gene:10003,genomic,gene,gene:10003
gene:100033386,genomic,gene,gene:100033386
gene:100033387,genomic,gene,gene:100033387
gene:100033411,genomic,gene,gene:100033411
gene:100033413,genomic,gene,gene:100033413
gene:100033414,genomic,gene,gene:100033414
gene:100033415,genomic,gene,gene:100033415
gene:100033416,genomic,gene,gene:100033416
gene:100033417,genomic,gene,gene:100033417
gene:100033418,genomic,gene,gene:100033418
gene:100033419,genomic,gene,gene:100033419
gene:100033420,genomic,gene,gene:100033420
gene:100033421,genomic,gene,gene:100033421
gene:100033422,genomic,gene,gene:100033422
gene:100033423,genomic,gene,gene:100033423
gene:100033424,genomic,gene,gene:100033424
gene:100033425,genomic,gene,gene:100033425
gene:100033426,genomic,gene,gene:100033426
gene:100033427,genomic,gene,gene:100033427
gene:100033429,genomic,gene,gene:100033429
gene:100033430,genomic,gene,gene:100033430
gene:100033431,genomic,gene,gene:100033431
gene:100033432,genomic,gene,gene:100033432
gene:100033433,genomic,gene,gene:100033433
gene:100033434,genomic,gene,gene:100033434
gene:100033435,genomic,gene,gene:100033435
gene:100033436,genomic,gene,gene:100033436
gene:100033437,genomic,gene,gene:100033437
